"","P","Sub","Number","Species","Ht","DBH","D30","Max_DBH","Max_D30","CSA_BH","CSA_30","Code"
"1114",5,2,"1066","Gochnatia polymorpha",6,"9.6+8.7","5.6",9.6,5.6,131.828970375,24.6300656,"GOPO"
"1115",5,2,"1067","Gochnatia polymorpha",6,"8.2+10.8+6.8+9.5+9.8+8.5","12.8+16.5",10.8,16.5,383.79234235,342.503995775,"GOPO"
"1116",5,2,"1068","Tabebuia ochracea",1.8,"1.6","4",1.6,4,2.0106176,12.56636,"TAOC"
"1117",5,2,"1069","Ocotea corymbosa",2.5,"2.3","3.1",2.3,3.1,4.154752775,7.547669975,"OCCO"
"1118",5,2,"1070","Leptolobium elegans",2.5,"5","7.5",5,7.5,19.6349375,44.178609375,"LEEL"
"1119",5,2,"1071","Myrcia fallax",2.2,"1.2+1","11.8",1.2,11.8,1.9163699,109.3587479,"MYFA"
"1120",5,3,"1073","Gochnatia polymorpha",6,"7.5+5.8","11.7",7.5,11.7,70.599381275,107.513063775,"GOPO"
"1121",5,3,"1074","Gochnatia polymorpha",6.5,"18+8.1+7.7","16.5",18,16.5,352.56493775,213.824469375,"GOPO"
"1122",5,3,"1075","Ocotea corymbosa",7,"11.4","12.8",11.4,12.8,102.0702591,128.6795264,"OCCO"
"1123",5,3,"1076","Symplocos pubescens",6,"13.4","15",13.4,15,141.0259751,176.7144375,"SYPU"
"1124",5,3,"1077","Gochnatia polymorpha",6,"7.3","7.8",7.3,7.8,41.853832775,47.7835839,"GOPO"
"1125",5,3,"1078","Gochnatia polymorpha",7,"5+8.1","9",8.1,9,71.164867475,63.6171975,"GOPO"
"1126",5,3,"1079","Tapirira guianensis",5,"6.1","7.3",6.1,7.3,29.224640975,41.853832775,"TAGU"
"1127",5,3,"1080","Miconia ligustroides",5,"9.4","11.5",9.4,11.5,69.3977231,103.868819375,"MILI"
"1128",5,3,"1081","Myrcia fallax",3,"6","8.4",6,8.4,28.27431,55.4176476,"MYFA"
"1129",5,3,"1082","Gochnatia polymorpha",6,"7.8","9.5",7.8,9.5,47.7835839,70.882124375,"GOPO"
"1130",5,3,"1083","Gochnatia polymorpha",7,"9.2+5.6","12.8",9.2,12.8,91.10611,128.6795264,"GOPO"
"1131",5,3,"1084","Ocotea corymbosa",7,"12.3","14.9",12.3,14.9,118.822787775,174.366098975,"OCCO"
"1132",5,3,"1085","Myrcia fallax",4.5,"5.5","6.3",5.5,6.3,23.758274375,31.172426775,"MYFA"
"1133",5,3,"1086","Rapanea umbellata",6,"7.7","10",7.7,10,46.566217775,78.53975,"RAUM"
"1134",5,3,"1087","Rapanea umbellata",6,"6.7","7.8",6.7,7.8,35.256493775,47.7835839,"RAUM"
"1135",5,3,"1088","Gochnatia polymorpha",6,"7.6","7.8",7.6,7.8,45.3645596,47.7835839,"GOPO"
"1136",5,3,"1089","Campomanesia adamantium",3,"2","2.9",2,2.9,3.14159,6.605192975,"CAAD"
"1137",5,3,"1090","Myrcia tomentosa",3,"2.7","3",2.7,3,5.725547775,7.0685775,"MYTO"
"1138",5,3,"1091","Rapanea umbellata",4,"2.6","3.2",2.6,3.2,5.3092871,8.0424704,"RAUM"
"1139",5,3,"1092","Campomanesia adamantium",1.7,"2.2","3",2.2,3,3.8013239,7.0685775,"CAAD"
"1140",5,3,"1093","Rapanea ferruginea",2,"1.3","morta",1.3,NA,1.327321775,NA,"RAFE"
"1141",5,3,"1094","Rapanea umbellata",5,"4.4","5.2",4.4,5.2,15.2052956,21.2371484,"RAUM"
"1142",5,3,"1095","Rapanea umbellata",5,"4.5","5.4",4.5,5.4,15.904299375,22.9021911,"RAUM"
"1143",5,3,"1096","Ocotea corymbosa",3,"1","2.5",1,2.5,0.7853975,4.908734375,"OCCO"
"1144",5,3,"1097","Ocotea corymbosa",4,"2.2","2.7",2.2,2.7,3.8013239,5.725547775,"OCCO"
"1145",5,3,"1098","Tapirira guianensis",6,"4.6","5.4",4.6,5.4,16.6190111,22.9021911,"TAGU"
"1146",5,3,"1099","Campomanesia adamantium",1.8,"2.2","2.6",2.2,2.6,3.8013239,5.3092871,"CAAD"
"1147",5,3,"1100","Campomanesia adamantium",1.5,"1","3.7",1,3.7,0.7853975,10.752091775,"CAAD"
"1148",5,3,"1101","Campomanesia adamantium",2,"2","3.8",2,3.8,3.14159,11.3411399,"CAAD"
"1149",5,3,"1102","Miconia ligustroides",2.5,"1.3","2.5",1.3,2.5,1.327321775,4.908734375,"MILI"
"1150",5,3,"1103","Stryphnodendron rotundifolium",2.5,"1.8","2.7",1.8,2.7,2.5446879,5.725547775,"STRO"
"1151",5,3,"1104","Campomanesia adamantium",2,"2","3.4",2,3.4,3.14159,9.0791951,"CAAD"
"1152",5,3,"1105","Campomanesia adamantium",1.6,"1","3.3",1,3.3,0.7853975,8.552978775,"CAAD"
"1153",5,3,"1106","Campomanesia adamantium",2,"1","2.8",1,2.8,0.7853975,6.1575164,"CAAD"
"1154",5,3,"1107","Lacistema hasslerianum",2,"1","2",1,2,0.7853975,3.14159,"LAHA"
"1155",5,3,"1109","Campomanesia adamantium",1.6,"1","3",1,3,0.7853975,7.0685775,"CAAD"
"1156",5,3,"1110","Campomanesia adamantium",1.5,"1.2","3",1.2,3,1.1309724,7.0685775,"CAAD"
"1157",5,3,"1112","Pera obovata",5,"3.9","4.7",3.9,4.7,11.945895975,17.349430775,"PEOB"
"1158",5,3,"1113","Matayba elaeagnoides",3,"3.1","2.2",3.1,2.2,7.547669975,3.8013239,"MAEL"
"1159",5,3,"1114","Rapanea umbellata",5,"3.1+1.2+1.8","3.5",3.1,3.5,11.223330275,9.621119375,"RAUM"
"1160",5,3,"1115","Chrysophyllum marginatum",2,"1.2","3.2",1.2,3.2,1.1309724,8.0424704,"CHMA"
"1161",5,3,"1116","Rapanea umbellata",4,"2.6","3.1",2.6,3.1,5.3092871,7.547669975,"RAUM"
"1162",5,3,"1117","Rapanea umbellata",3.5,"2.9","3.8",2.9,3.8,6.605192975,11.3411399,"RAUM"
"1163",5,3,"1118","Matayba elaeagnoides",1.8,"1.8","2",1.8,2,2.5446879,3.14159,"MAEL"
"1164",5,3,"1119","Ocotea corymbosa",2.5,"2.5","1.8",2.5,1.8,4.908734375,2.5446879,"OCCO"
"1165",5,3,"1120","Rapanea umbellata",3,"3","2.1",3,2.1,7.0685775,3.463602975,"RAUM"
"1166",5,3,"1121","Ocotea corymbosa",3,"3","1.6",3,1.6,7.0685775,2.0106176,"OCCO"
"1167",5,3,"1122","Ocotea corymbosa",5,"5","2.9",5,2.9,19.6349375,6.605192975,"OCCO"
"1168",5,3,"1123","Rapanea umbellata",2.5,"2.5","1.7",2.5,1.7,4.908734375,2.269798775,"RAUM"
"1169",5,3,"1126","Myrcia multiflora",2,"1+1.3","1.5",1.3,1.5,2.112719275,1.767144375,"MYMU"
"1170",5,3,"1127","Tapirira guianensis",3.5,"3.2","3.6",3.2,3.6,8.0424704,10.1787516,"TAGU"
"1171",5,3,"1128","Casearia sylvestris",3.5,"2.7","3",2.7,3,5.725547775,7.0685775,"CASY"
"1172",5,3,"1129","Gochnatia polymorpha",5,"3.6","5.3",3.6,5.3,10.1787516,22.061815775,"GOPO"
"1173",5,3,"1130","Rapanea ferruginea",5,"3.5","4.5",3.5,4.5,9.621119375,15.904299375,"RAFE"
"1174",5,3,"1131","Rapanea umbellata",4,"2.5","3.2",2.5,3.2,4.908734375,8.0424704,"RAUM"
"1175",5,3,"1132","Matayba elaeagnoides",3.5,"2.1","2.3",2.1,2.3,3.463602975,4.154752775,"MAEL"
"1176",5,3,"1133","Ocotea corymbosa",4.5,"2.4","2.9",2.4,2.9,4.5238896,6.605192975,"OCCO"
"1177",5,3,"1135","Matayba elaeagnoides",4.5,"3.2+2.2","4",3.2,4,11.8437943,12.56636,"MAEL"
"1178",5,3,"1136","Myrcia fallax",4,"3.7+3+3.5","7.4",3.7,7.4,27.44178865,43.0083671,"MYFA"
"1179",5,3,"1137","Matayba elaeagnoides",1.8,"1.1","1.6",1.1,1.6,0.950330975,2.0106176,"MAEL"
"1180",5,3,"1138","Tapirira guianensis",6,"3.7","4.2",3.7,4.2,10.752091775,13.8544119,"TAGU"
"1181",5,3,"1139","Rapanea umbellata",5,"3.1+3.6","6",3.6,6,17.726421575,28.27431,"RAUM"
"1182",5,3,"1140","Gochnatia barrosii",4,"3.2","4.9",3.2,4.9,8.0424704,18.857393975,"GOBA"
"1183",5,3,"1141","Erythroxylum deciduum",6,"4.5","4.8",4.5,4.8,15.904299375,18.0955584,"ERDE"
"1184",5,3,"1142","Rapanea umbellata",3,"1.5","2.4",1.5,2.4,1.767144375,4.5238896,"RAUM"
"1185",5,3,"1143","Tripodanthus acutifolius",2.5,"1.5","2.9",1.5,2.9,1.767144375,6.605192975,"TRAC"
"1186",5,3,"1144","Campomanesia adamantium",2,"1","2.6",1,2.6,0.7853975,5.3092871,"CAAD"
"1187",5,4,"1146","Pera obovata",6,"10.3+10.9","21.7",10.9,21.7,176.63589775,369.835828775,"PEOB"
"1188",5,4,"1147","Vochysia tucanorum",4.5,"5","7.2",5,7.2,19.6349375,40.7150064,"VOTU"
"1189",5,4,"1148","Gochnatia polymorpha",6,"9.2+6","13",9.2,13,94.7503544,132.7321775,"GOPO"
"1190",5,4,"1149","Leptolobium elegans",2.5,"5.4","7.9",5.4,7.9,22.9021911,49.016657975,"LEEL"
"1191",5,4,"1150","Pera obovata",5,"5.3","5.8",5.3,5.8,22.061815775,26.4207719,"PEOB"
"1192",5,4,"1151","Stryphnodendron rotundifolium",4,"5.4","6.5",5.4,6.5,22.9021911,33.183044375,"STRO"
"1193",5,4,"1152","Stryphnodendron rotundifolium",3.5,"5.5","6.2",5.5,6.2,23.758274375,30.1906799,"STRO"
"1194",5,4,"1153","Tapirira guianensis",8,"11.4","13.4",11.4,13.4,102.0702591,141.0259751,"TAGU"
"1195",5,4,"1154","Miconia ligustroides",4,"6.3","8.4",6.3,8.4,31.172426775,55.4176476,"MILI"
"1196",5,4,"1155","Gochnatia polymorpha",3,"2.3+1.1+2+1.8+1.2","6.5",2.3,6.5,11.92233405,33.183044375,"GOPO"
"1197",5,4,"1156","Campomanesia adamantium",1.6,"1.2","2",1.2,2,1.1309724,3.14159,"CAAD"
"1198",5,4,"1157","Luehea grandiflora",2.2,"1.7","3.3",1.7,3.3,2.269798775,8.552978775,"LUGR"
"1199",5,4,"1158","Aegiphila verticillata",2,"1.1","2",1.1,2,0.950330975,3.14159,"AEVE"
"1200",5,4,"1159","Machaerium acutifolium",1.8,"1.2","2.8",1.2,2.8,1.1309724,6.1575164,"MAAC"
"1201",5,4,"1160","Myrcia fallax",2.5,"2.1","4.6",2.1,4.6,3.463602975,16.6190111,"MYFA"
"1202",5,4,"1161","Helietta apiculata",2.5,"1.2","2.2",1.2,2.2,1.1309724,3.8013239,"HEAP"
"1203",5,5,"1072","Lippia sidoides",2.3,"1.9","",1.9,NA,2.835284975,0,"LISI"
"1204",5,5,"1124","Annona dioica",2,"1.5","",1.5,NA,1.767144375,0,"ANDI"
"1205",5,5,"1162","Gochnatia polymorpha",4,"5.3","85",5.3,85,22.061815775,5674.4969375,"GOPO"
"1206",5,5,"1163","Tapirira guianensis",4,"5","6.3",5,6.3,19.6349375,31.172426775,"TAGU"
"1207",5,5,"1164","Tapirira guianensis",8,"10.1","11.3",10.1,11.3,80.118398975,100.287406775,"TAGU"
"1208",5,5,"1165","Ocotea corymbosa",7,"7.8","8.1",7.8,8.1,47.7835839,51.529929975,"OCCO"
"1209",5,5,"1166","Ocotea corymbosa",7,"8.3","9.2",8.3,9.2,54.106033775,66.4760444,"OCCO"
"1210",5,5,"1167","Ocotea corymbosa",7,"10.5","12.2",10.5,12.2,86.590074375,116.8985639,"OCCO"
"1211",5,5,"1168","Pera obovata",7,"10.3+8","15",10.3,15,133.588260775,176.7144375,"PEOB"
"1212",5,5,"1169","Pera obovata",6,"6.3","8.2",6.3,8.2,31.172426775,52.8101279,"PEOB"
"1213",5,5,"1170","Rapanea umbellata",4.5,"5.9","6.6",5.9,6.6,27.339686975,34.2119151,"RAUM"
"1214",5,5,"1171","Symplocos pubescens",5,"7.5+5.7","6.4",7.5,6.4,69.69617415,32.1698816,"SYPU"
"1215",5,5,"1172","Lippia sidoides",4,"1.3","1.6",1.3,1.6,1.327321775,2.0106176,"LISI"
"1216",5,5,"1173","Leptolobium elegans",1.9,"4.8","7.3",4.8,7.3,18.0955584,41.853832775,"LEEL"
"1217",5,5,"1174","Myrcia fallax",2,"1","1.9",1,1.9,0.7853975,2.835284975,"MYFA"
"1218",5,5,"1175","Stryphnodendron rotundifolium",2.2,"2.5","3.6",2.5,3.6,4.908734375,10.1787516,"STRO"
"1219",5,5,"1334","Aegiphila verticillata",1.8,"1+4.8","1.5+5.8",4.8,5.8,18.8809559,28.187916275,"AEVE"
"1220",5,6,"1111","Rapanea ferruginea",3,"1","1.3",1,1.3,0.7853975,1.327321775,"RAFE"
"1221",5,6,"1145","Casearia sylvestris",2,"2","3",2,3,3.14159,7.0685775,"CASY"
"1222",5,6,"1176","Stryphnodendron rotundifolium",4,"6.4","7.9",6.4,7.9,32.1698816,49.016657975,"STRO"
"1223",5,6,"1177","Annona crassiflora",4.5,"7.7","10",7.7,10,46.566217775,78.53975,"ANCR"
"1224",5,6,"1179","Symplocos pubescens",4,"5.8","10.6",5.8,10.6,26.4207719,88.2472631,"SYPU"
"1225",5,6,"1180","Gochnatia polymorpha",4,"5.1","5.6",5.1,5.6,20.428188975,24.6300656,"GOPO"
"1226",5,6,"1181","Tapirira guianensis",5,"5.7","6.2",5.7,6.2,25.517564775,30.1906799,"TAGU"
"1227",5,6,"1182","Rapanea umbellata",6,"6.1","7.3",6.1,7.3,29.224640975,41.853832775,"RAUM"
"1228",5,6,"1183","Tapirira guianensis",5,"7.2","7.8",7.2,7.8,40.7150064,47.7835839,"TAGU"
"1229",5,6,"1184","Gochnatia polymorpha",3.5,"5","5.9",5,5.9,19.6349375,27.339686975,"GOPO"
"1230",5,6,"1185","Vochysia tucanorum",4,"4.8","6",4.8,6,18.0955584,28.27431,"VOTU"
"1231",5,6,"1186","Pera obovata",9,"10.9+9+9.3+7.8+7.5+7.6+8.1+9.5","35.4",10.9,35.4,484.598111475,984.2287311,"PEOB"
"1232",5,6,"1187","Machaerium acutifolium",8,"19.5","21.4",19.5,21.4,298.647399375,359.6806391,"MAAC"
"1233",5,6,"1188","Gochnatia polymorpha",2,"3.6+2.5+2.5+3.1","7.2",3.6,7.2,27.543890325,40.7150064,"GOPO"
"1234",5,6,"1189","Rapanea ferruginea",3,"1.6","2.1",1.6,2.1,2.0106176,3.463602975,"RAFE"
"1235",5,6,"1191","Rapanea umbellata",2.1,"1.1","1.5",1.1,1.5,0.950330975,1.767144375,"RAUM"
"1236",5,6,"1192","Rapanea ferruginea",2.5,"1.3","2.5",1.3,2.5,1.327321775,4.908734375,"RAFE"
"1237",5,6,"1193","Miconia albicans",2,"1+1","6.8",1,6.8,1.570795,36.3167804,"MIAL"
"1238",5,6,"1194","Rapanea umbellata",1.8,"1","2.3",1,2.3,0.7853975,4.154752775,"RAUM"
"1239",5,6,"1195","Rapanea ferruginea",4,"2.5","3.3",2.5,3.3,4.908734375,8.552978775,"RAFE"
"1240",5,6,"1196","Chrysophyllum marginatum",3.5,"2.2","",2.2,NA,3.8013239,0,"CHMA"
"1241",5,6,"1197","Zeyheria montana",2.8,"4.1","4.6",4.1,4.6,13.202531975,16.6190111,"ZEMO"
"1242",5,6,"1198","Casearia sylvestris",3,"3.5+2.8","4.2+3.4",3.5,4.2,15.778635775,22.933607,"CASY"
"1243",5,6,"1199","Rapanea umbellata",4,"3.8","4.6",3.8,4.6,11.3411399,16.6190111,"RAUM"
"1244",5,6,"1200","Rapanea umbellata",4,"2.8","3.2",2.8,3.2,6.1575164,8.0424704,"RAUM"
"1245",5,6,"1201","Rapanea umbellata",4,"1.2","1.5",1.2,1.5,1.1309724,1.767144375,"RAUM"
"1246",5,6,"1202","Matayba elaeagnoides",2,"1.7","2.3",1.7,2.3,2.269798775,4.154752775,"MAEL"
"1247",5,6,"1203","Rapanea ferruginea",4,"2.1","2.8",2.1,2.8,3.463602975,6.1575164,"RAFE"
"1248",5,6,"1204","Gochnatia polymorpha",3,"2.1","2.8",2.1,2.8,3.463602975,6.1575164,"GOPO"
"1249",5,6,"1205","Rapanea ferruginea",3,"1","1.5",1,1.5,0.7853975,1.767144375,"RAFE"
"1250",5,6,"1206","Casearia sylvestris",1.7,"1.5+1.2","2.2+2.1+1.3",1.5,2.2,2.898116775,8.59224865,"CASY"
"1251",5,7,"1190","Rapanea umbellata",3.5,"1.8","2.5",1.8,2.5,2.5446879,4.908734375,"RAUM"
"1252",5,7,"1207","Vochysia tucanorum",6.5,"14","12.5",14,12.5,153.93791,122.718359375,"VOTU"
"1253",5,7,"1208","Gochnatia polymorpha",6,"10.4","12.8",10.4,12.8,84.9485936,128.6795264,"GOPO"
"1254",5,7,"1209","Pera obovata",6,"6.7+11.6+9.1","12.4+8+10.3",11.6,12.4,205.97834835,254.350980375,"PEOB"
"1255",5,7,"1210","Miconia ligustroides",6,"8.7+8.6+9.6","10+11+5.5+11.1",9.6,11.1,189.916969475,294.09994785,"MILI"
"1256",5,7,"1211","Pera obovata",6,"5.8","7.2+5.7",5.8,7.2,26.4207719,66.232571175,"PEOB"
"1257",5,7,"1212","Myrcia fallax",4,"7.2","7",7.2,7,40.7150064,38.4844775,"MYFA"
"1258",5,7,"1213","Rapanea umbellata",4.5,"5","5.7",5,5.7,19.6349375,25.517564775,"RAUM"
"1259",5,7,"1214","Vochysia tucanorum",4,"5","6.7",5,6.7,19.6349375,35.256493775,"VOTU"
"1260",5,7,"1215","Ocotea corymbosa",7,"7.3+9.1","15.2",9.1,15.2,106.89259975,181.4582384,"OCCO"
"1261",5,7,"1216","Tapirira guianensis",7,"7.5","8.6",7.5,8.6,44.178609375,58.0879991,"TAGU"
"1262",5,7,"1217","Styrax camporum",6,"11.7+11.9+9.8","13.5+12.8+10.4",11.9,13.5,294.16277965,356.766814375,"STCA"
"1263",5,7,"1218","Tapirira guianensis",7,"8","9.5",8,9.5,50.26544,70.882124375,"TAGU"
"1264",5,7,"1219","Myrcia fallax",2.2,"1.1","2.1",1.1,2.1,0.950330975,3.463602975,"MYFA"
"1265",5,7,"1220","Gochnatia polymorpha",2,"1.2","2.5",1.2,2.5,1.1309724,4.908734375,"GOPO"
"1266",5,7,"1221","Rapanea umbellata",3,"1.5","2.2",1.5,2.2,1.767144375,3.8013239,"RAUM"
"1267",5,7,"1222","Ocotea corymbosa",5,"3.6","4.2",3.6,4.2,10.1787516,13.8544119,"OCCO"
"1268",5,7,"1223","Pera obovata",4,"3.6","4.7",3.6,4.7,10.1787516,17.349430775,"PEOB"
"1269",5,7,"1224","Rapanea umbellata",2,"1","1.5",1,1.5,0.7853975,1.767144375,"RAUM"
"1270",5,7,"1225","Rapanea umbellata",2.5,"1.2","1.8",1.2,1.8,1.1309724,2.5446879,"RAUM"
"1271",5,7,"1226","Rapanea umbellata",2.5,"1.1","1.7",1.1,1.7,0.950330975,2.269798775,"RAUM"
"1272",5,7,"1227","Myrcia fallax",4,"3","3.4",3,3.4,7.0685775,9.0791951,"MYFA"
"1273",5,7,"1228","Rapanea umbellata",2,"1","1.3",1,1.3,0.7853975,1.327321775,"RAUM"
"1274",5,7,"1229","Miconia ligustroides",4,"3","4.7",3,4.7,7.0685775,17.349430775,"MILI"
"1275",5,7,"1230","Rapanea umbellata",2.2,"1.3","1.7",1.3,1.7,1.327321775,2.269798775,"RAUM"
"1276",5,7,"1231","Rapanea umbellata",4,"3.3","3.7",3.3,3.7,8.552978775,10.752091775,"RAUM"
"1277",5,7,"1232","Pera obovata",2,"1.2","",1.2,NA,1.1309724,0,"PEOB"
"1278",5,7,"1233","Ocotea corymbosa",2.8,"1.5","1.8",1.5,1.8,1.767144375,2.5446879,"OCCO"
"1279",5,7,"1234","Ocotea corymbosa",2.5,"1.5","1.8",1.5,1.8,1.767144375,2.5446879,"OCCO"
"1280",5,7,"1235","Symplocos pubescens",2,"1","1.8",1,1.8,0.7853975,2.5446879,"SYPU"
"1281",5,7,"1236","Rapanea umbellata",2.2,"1.1","2.1",1.1,2.1,0.950330975,3.463602975,"RAUM"
"1282",5,7,"1237","Zeyheria montana",2.2,"1.5","2.5+1.9",1.5,2.5,1.767144375,7.74401935,"ZEMO"
"1283",5,7,"1238","Miconia ligustroides",2.5,"1.5","2.8",1.5,2.8,1.767144375,6.1575164,"MILI"
"1284",5,7,"1239","Gochnatia polymorpha",2.4,"1.5","1.9",1.5,1.9,1.767144375,2.835284975,"GOPO"
"1285",5,8,"1126","Rapanea umbellata",2,"1+1.3","1.5",1.3,1.5,2.112719275,1.767144375,"RAUM"
"1286",5,8,"1240","Stryphnodendron rotundifolium",2.5,"6.5","7.1",6.5,7.1,33.183044375,39.591887975,"STRO"
"1287",5,8,"1241","Myrcia fallax",3,"5+6.1","10.5",6.1,10.5,48.859578475,86.590074375,"MYFA"
"1288",5,8,"1242","Gochnatia polymorpha",4,"6.3","7.7",6.3,7.7,31.172426775,46.566217775,"GOPO"
"1289",5,8,"1243","Tapirira guianensis",5,"5","6",5,6,19.6349375,28.27431,"TAGU"
"1290",5,8,"1244","Miconia ligustroides",6,"6.5","6.4",6.5,6.4,33.183044375,32.1698816,"MILI"
"1291",5,8,"1245","Miconia ligustroides",4.5,"6.1","8.4",6.1,8.4,29.224640975,55.4176476,"MILI"
"1292",5,8,"1246","Ocotea corymbosa",6,"6.4","6.7",6.4,6.7,32.1698816,35.256493775,"OCCO"
"1293",5,8,"1247","Matayba elaeagnoides",6,"7.9","9",7.9,9,49.016657975,63.6171975,"MAEL"
"1294",5,8,"1248","Ocotea corymbosa",6.5,"8.8","7",8.8,7,60.8211824,38.4844775,"OCCO"
"1295",5,8,"1249","Ocotea corymbosa",6,"6","6.8",6,6.8,28.27431,36.3167804,"OCCO"
"1296",5,8,"1250","Myrcia fallax",5.5,"7.6","7.5",7.6,7.5,45.3645596,44.178609375,"MYFA"
"1297",5,8,"1251","Ocotea corymbosa",7,"9","9.8",9,9.8,63.6171975,75.4295759,"OCCO"
"1298",5,8,"1252","Tapirira guianensis",5,"5.2","6",5.2,6,21.2371484,28.27431,"TAGU"
"1299",5,8,"1253","Ocotea corymbosa",6,"8.6","9.5",8.6,9.5,58.0879991,70.882124375,"OCCO"
"1300",5,8,"1254","Tapirira guianensis",7,"10.5+13","21.4",13,21.4,219.322251875,359.6806391,"TAGU"
"1301",5,8,"1255","Rapanea umbellata",3.5,"5.8","8.8",5.8,8.8,26.4207719,60.8211824,"RAUM"
"1302",5,8,"1256","Stryphnodendron rotundifolium",2,"5.2","5.8",5.2,5.8,21.2371484,26.4207719,"STRO"
"1303",5,8,"1257","Tapirira guianensis",4.5,"4.3","5.4",4.3,5.4,14.521999775,22.9021911,"TAGU"
"1304",5,8,"1258","Tapirira guianensis",4.5,"4.6","5.1",4.6,5.1,16.6190111,20.428188975,"TAGU"
"1305",5,8,"1259","Tapirira guianensis",4.5,"5.8","6.2",5.8,6.2,26.4207719,30.1906799,"TAGU"
"1306",5,8,"1260","Tapirira guianensis",4.5,"4.7","5",4.7,5,17.349430775,19.6349375,"TAGU"
"1307",5,8,"1261","Rapanea umbellata",3,"4.4","1.9+2",4.4,2,15.2052956,5.976874975,"RAUM"
"1308",5,8,"1262","Myrcia fallax",2,"1.2+1.3","2.2",1.3,2.2,2.458294175,3.8013239,"MYFA"
"1309",5,8,"1263","Rapanea umbellata",3,"1.6+1.6","2+2",1.6,2,4.0212352,6.28318,"RAUM"
"1310",5,8,"1264","Rapanea umbellata",3.5,"4.3","5.1",4.3,5.1,14.521999775,20.428188975,"RAUM"
"1311",5,8,"1265","Rapanea umbellata",4,"3.1","4.3",3.1,4.3,7.547669975,14.521999775,"RAUM"
"1312",5,8,"1266","Tapirira guianensis",1.5,"1.3","2.3",1.3,2.3,1.327321775,4.154752775,"TAGU"
"1313",5,8,"1267","Tapirira guianensis",5,"4","5",4,5,12.56636,19.6349375,"TAGU"
"1314",5,8,"1268","Rapanea umbellata",5,"4.7","5.7",4.7,5.7,17.349430775,25.517564775,"RAUM"
"1315",5,8,"1269","Ocotea corymbosa",5,"3.5","4.9",3.5,4.9,9.621119375,18.857393975,"OCCO"
"1316",5,8,"1270","Rapanea umbellata",2.5,"1.3","1.7",1.3,1.7,1.327321775,2.269798775,"RAUM"
"1317",5,8,"1271","Machaerium brasiliense",2,"1.3","1.5",1.3,1.5,1.327321775,1.767144375,"MABR"
"1318",5,8,"1272","Tapirira guianensis",5,"4.3","5",4.3,5,14.521999775,19.6349375,"TAGU"
"1319",5,8,"1273","Matayba elaeagnoides",2,"1.6","2.3",1.6,2.3,2.0106176,4.154752775,"MAEL"
"1320",5,8,"1274","Rapanea umbellata",2.5,"2","2.4",2,2.4,3.14159,4.5238896,"RAUM"
"1321",5,8,"1275","Rapanea umbellata",4.5,"4.6","5.5",4.6,5.5,16.6190111,23.758274375,"RAUM"
"1322",5,8,"1276","Rapanea umbellata",2.5,"1.9+1.4+1.4+1.6","1.8+2.2+2.5",1.9,2.5,7.924660775,11.254746175,"RAUM"
"1323",5,8,"1277","Tapirira guianensis",3.5,"2.6","2.8",2.6,2.8,5.3092871,6.1575164,"TAGU"
"1324",5,8,"1278","Pera obovata",6,"4.8","6.3",4.8,6.3,18.0955584,31.172426775,"PEOB"
"1325",5,8,"1279","Blepharocalyx salicifolius",2,"2.1","4",2.1,4,3.463602975,12.56636,"BLSA"
"1326",5,8,"1280","Myrcia tomentosa",4.5,"5.4","6.8+2.1",5.4,6.8,22.9021911,39.780383375,"MYTO"
"1327",5,8,"1281","Ocotea corymbosa",2,"1.2","1.7",1.2,1.7,1.1309724,2.269798775,"OCCO"
"1328",5,8,"1282","Rapanea umbellata",4,"2.2+2.6","3.6",2.6,3.6,9.110611,10.1787516,"RAUM"
"1329",5,8,"1283","Blepharocalyx salicifolius",2.5,"1.2","2.4",1.2,2.4,1.1309724,4.5238896,"BLSA"
"1330",5,8,"1284","Myrcia fallax",2,"2.2","3",2.2,3,3.8013239,7.0685775,"MYFA"
"1331",5,8,"1285","Tapirira guianensis",1.8,"1.1","2.1",1.1,2.1,0.950330975,3.463602975,"TAGU"
"1332",5,8,"1286","Rapanea umbellata",3,"2.9+2.5","4.5",2.9,4.5,11.51392735,15.904299375,"RAUM"
"1333",5,8,"1287","Myrcia fallax",2,"2.1","3.2",2.1,3.2,3.463602975,8.0424704,"MYFA"
"1334",5,8,"1288","Pera obovata",3,"2.7","3.2",2.7,3.2,5.725547775,8.0424704,"PEOB"
"1335",5,8,"1289","Rapanea umbellata",4,"1.9","2.4+1.3",1.9,2.4,2.835284975,5.851211375,"RAUM"
"1336",5,8,"1290","Rapanea umbellata",4.5,"5.5+4.3","5.3+5.5",5.5,5.5,38.28027415,45.82009015,"RAUM"
"1337",5,8,"1291","Rapanea umbellata",3,"2+1.7+1.4","3",2,3,6.950767875,7.0685775,"RAUM"
"1338",5,8,"1292","Rapanea umbellata",2,"1.3","1.8",1.3,1.8,1.327321775,2.5446879,"RAUM"
"1339",5,8,"1293","Daphnopsis racemosa",1.7,"1.2+1.5","4.4",1.5,4.4,2.898116775,15.2052956,"DARA"
"1340",5,9,"1294","Myrcia tomentosa",3.5,"5+5.3","8.8",5.3,8.8,41.696753275,60.8211824,"MYTO"
"1341",5,9,"1295","Myrcia fallax",5,"10.7+7.2","12.9+7.7",10.7,12.9,130.635166175,177.26421575,"MYFA"
"1342",5,9,"1296","Tapirira guianensis",5,"7.2","8.1",7.2,8.1,40.7150064,51.529929975,"TAGU"
